_id,kid,action,requestPayload.profile.age,requestPayload.profile.currentLevel,responsePayload.confidence,responsePayload.caution_note,responsePayload.recommended_pictograms[0].pictogram_id,responsePayload.recommended_pictograms[1].pictogram_id,responsePayload.recommended_pictograms[2].pictogram_id,responsePayload.recommended_pictograms[3].pictogram_id,responsePayload.recommended_pictograms[0].label,responsePayload.recommended_pictograms[1].label,responsePayload.recommended_pictograms[2].label,responsePayload.recommended_pictograms[3].label,responsePayload.recommended_pictograms[0].category,responsePayload.recommended_pictograms[1].category,responsePayload.recommended_pictograms[2].category,responsePayload.recommended_pictograms[3].category,responsePayload.recommended_pictograms[0].reason,responsePayload.recommended_pictograms[1].reason,responsePayload.recommended_pictograms[2].reason,responsePayload.recommended_pictograms[3].reason,responsePayload.recommended_categories[0],responsePayload.recommended_categories[1],responsePayload.recommended_scenarios[0].scenario_id,responsePayload.recommended_scenarios[1].scenario_id,responsePayload.recommended_scenarios[0].title,responsePayload.recommended_scenarios[1].title,responsePayload.recommended_scenarios[0].target_level,responsePayload.recommended_scenarios[1].target_level,responsePayload.recommended_scenarios[0].reason,responsePayload.recommended_scenarios[1].reason,responsePayload.adaptation_suggestions[0],responsePayload.adaptation_suggestions[1],responsePayload.supervisor_tips[0],responsePayload.supervisor_tips[1],responsePayload.explanation,status,errorMessage,triggeredBy,createdAt,updatedAt,__v,requestPayload.role,requestPayload.query,responsePayload.answer,responsePayload.reasoning_summary,responsePayload.recommendations[0],responsePayload.recommendations[1],requestPayload.text,requestPayload.pictogramLabels[0],requestPayload.pictogramLabels[1],requestPayload.language,responsePayload.corrected_text,responsePayload.normalized_text,responsePayload.suggestions[0],requestPayload.context.kidName,requestPayload.context.kidId,requestPayload.topK,responsePayload.retrieved_chunks[0].score,responsePayload.retrieved_chunks[1].score,responsePayload.retrieved_chunks[2].score,responsePayload.retrieved_chunks[0].question,responsePayload.retrieved_chunks[1].question,responsePayload.retrieved_chunks[2].question,responsePayload.retrieved_chunks[0].answer,responsePayload.retrieved_chunks[1].answer,responsePayload.retrieved_chunks[2].answer,requestPayload.rawText,responsePayload.correctedText,requestPayload.latestScores[0],requestPayload.latestScores[1],requestPayload.latestScores[2],responsePayload.recommendationCount,requestPayload.filename,responsePayload.text,requestPayload.kidId,requestPayload.history[0].label,requestPayload.history[1].label,requestPayload.history[2].label,requestPayload.history[3].label,requestPayload.history[4].label,requestPayload.history[5].label,requestPayload.history[0].category,requestPayload.history[1].category,requestPayload.history[2].category,requestPayload.history[3].category,requestPayload.history[4].category,requestPayload.history[5].category,requestPayload.history[0].score,requestPayload.history[1].score,requestPayload.history[2].score,requestPayload.history[3].score,requestPayload.history[4].score,requestPayload.history[5].score,requestPayload.profile.kidId,requestPayload.profile.name,requestPayload.profile.objectives[0],requestPayload.profile.objectives[1],requestPayload.profile.objectives[2],requestPayload.profile.latestScores[0],requestPayload.profile.latestScores[1],requestPayload.profile.latestScores[2],requestPayload.profile.latestScores[3],requestPayload.profile.latestScores[4],requestPayload.profile.previousRecommendations[0],requestPayload.profile.previousRecommendations[1],requestPayload.profile.previousRecommendations[2],requestPayload.profile.previousRecommendations[3],requestPayload.previousRecommendations[0],requestPayload.previousRecommendations[1],requestPayload.previousRecommendations[2],requestPayload.previousRecommendations[3]
69e40e7ed557274a8ba6bab7,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:06:38.436Z,2026-04-18T23:06:38.436Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40e7ed557274a8ba6babb,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:06:38.465Z,2026-04-18T23:06:38.465Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40e8ed557274a8ba6bac3,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:06:54.276Z,2026-04-18T23:06:54.276Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40e8ed557274a8ba6bac7,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:06:54.293Z,2026-04-18T23:06:54.293Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40e9ad557274a8ba6bada,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:07:06.245Z,2026-04-18T23:07:06.245Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40e9ad557274a8ba6badc,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:07:06.247Z,2026-04-18T23:07:06.247Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40f29d557274a8ba6bb25,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:09:29.406Z,2026-04-18T23:09:29.406Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40f29d557274a8ba6bb27,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:09:29.414Z,2026-04-18T23:09:29.414Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40ffcd557274a8ba6bbb0,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:13:00.713Z,2026-04-18T23:13:00.713Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e40ffcd557274a8ba6bbb5,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:13:00.725Z,2026-04-18T23:13:00.725Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69e41018d557274a8ba6bbc7,,recommend,8,Niveau 1,0.55,Recommendations are supportive suggestions and should be reviewed by a parent or therapist.,pic-water,pic-help,pic-happy,pic-sad,Eau,Aide,Heureux,Triste,Besoins essentiels,Besoins essentiels,Emotions,Emotions,Supports category expansion in Besoins essentiels.,Supports category expansion in Besoins essentiels.,Supports category expansion in Emotions.,Supports category expansion in Emotions.,Besoins essentiels,Emotions,sc-water,sc-emotions,Ask for water,Name an emotion,Niveau 1,Niveau 1,Matches the current level and recent communication goals.,Matches the current level and recent communication goals.,Keep the same level and reinforce consistency over several sessions.,Add one under-used category during supervised practice.,"Plan activities using these target categories: Besoins essentiels, Emotions.",Observe whether the child can switch categories without extra prompting.,"Recommendations prioritize categories aligned with Niveau 1, while trying to expand beyond the most recent usage pattern.",success,,,2026-04-18T23:13:28.182Z,2026-04-18T23:13:28.182Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
